iri	iri label	entity	entity label	attribute	attribute label	synonym	definition
AGRO_00000156	fertilizer area density	CHEBI_33287	fertilizer	PATO_0001351	area density	Fertilizer quantity	Quantity of fertilizer applied to soils or plant tissues in one treatment. 
AGRO_00000158	nitrogen area density	CHEBI_25555	nitrogen	PATO_0001351	area density	Nitrogen total amount	Total amount of nitrogen applied to the soil over the season
AGRO_00000160	phosphorus area density	CHEBI_28659	phosphorus	PATO_0001351	area density	Phosphorus total amount	Total amount of phosphorus applied over season.
AGRO_00000162	potassium area density	CHEBI_26216	potassium	PATO_0001351	area density	Potassium total amount	Total amount of potassium applied over season.
AGRO_00000164	sulfur area density	CHEBI_26833	sulfur	PATO_0001351	area density	Sulphur total amount	Total amount of sulphur applied over season.
AGRO_00000168	nitrate area density	CHEBI_17632	nitrate	PATO_0001351	area density	Nitrate amount	Quantity of nitrate applied
AGRO_00000169	ammonium area density	CHEBI:28938	ammonium	PATO_0001351	area density	Ammonium amount	Quantity of ammonium applied
AGRO_00000170	calcium area density	CHEBI_22984	calcium	PATO_0001351	area density	Calcium amount	Quantity of calcium applied
AGRO_00000174	magnesium area density	CHEBI:25107	toto	PATO_0001351	area density	Magnesium amount applied	Quantity of magnesium applied 
AGRO_00000175	iron area density	CHEBI:18248	magnesium	PATO_0001351	area density	Iron amount applied	Quantity of iron applied
AGRO_00000176	zinc area density	CHEBI:27363	zinc	PATO_0001351	area density	Zinc amount applied	Quantity of zinc applied
AGRO_00000177	copper area density	CHEBI:28694	copper	PATO_0001351	area density	Copper amount applied	Quantity of copper applied
AGRO_00000178	boron area density	CHEBI:27560	boron	PATO_0001351	area density	Boron amount applied	Quantity of boron applied
AGRO_00000179	molybdenum area density	CHEBI:28685	molybdenum	PATO_0001351	area density	Molybdenum amount applied	Quantity of molybdenum applied
AGRO_00000180	manganese area density	CHEBI:18291	manganese	PATO_0001351	area density	Manganese amount applied	Quantity of manganese applied
AGRO_00000188	chlorine area density	CHEBI:29311	chlorine	PATO_0001351	area density	Chlorine amount applied	Quantity of chlorine applied
