defined_class	defined_class_label	chemical	chemical_label	subclass	subclass_label
AGRO:00040000		CHEBI:62982	ammonium dihydrogen phosphate	PATO:0001351	area density
AGRO:00040001		CHEBI:149425	ammonium magnesium phosphate	PATO:0001351	area density
AGRO:00040002		CHEBI:149427	ammonium magnesium phosphate hexahydrate	PATO:0001351	area density
AGRO:00040003		CHEBI:63038	ammonium nitrate	PATO:0001351	area density
AGRO:00040004		CHEBI:147420	ammonium nitrate phosphate	PATO:0001351	area density
AGRO:00040005		CHEBI:147419	ammonium phosphate sulfate	PATO:0001351	area density
AGRO:00040006		CHEBI:147408	ammonium polyphosphate	PATO:0001351	area density
AGRO:00040007		CHEBI:62946	ammonium sulfate	PATO:0001351	area density
AGRO:00040008		CHEBI:140457	ammonium sulfate nitrate	PATO:0001351	area density
AGRO:00040009		CHEBI:91240	ammonium sulfate urea	PATO:0001351	area density
AGRO:00040010		CHEBI:147402	ammonium thiosulfate	PATO:0001351	area density
AGRO:00040011		CHEBI:91238	calcium ammonium nitrate	PATO:0001351	area density
AGRO:00040012		CHEBI:35433	calcium bis(dihydrogenphosphate)	PATO:0001351	area density
AGRO:00040013		CHEBI:3311	calcium carbonate	PATO:0001351	area density
AGRO:00040014		CHEBI:64301	calcium cyanamide	PATO:0001351	area density
AGRO:00040015		CHEBI:3312	calcium dichloride	PATO:0001351	area density
AGRO:00040016		CHEBI:64205	calcium nitrate	PATO:0001351	area density
AGRO:00040017		CHEBI:31344	calcium oxide	PATO:0001351	area density
AGRO:00040018		CHEBI:23414	copper(II) sulfate	PATO:0001351	area density
AGRO:00040019		CHEBI:147423	cyanoguanidine	PATO:0001351	area density
AGRO:00040020		CHEBI:63051	diammonium hydrogen phosphate	PATO:0001351	area density
AGRO:00040021		CHEBI:48838	gypsum	PATO:0001351	area density
AGRO:00040022		ENVO:00002053	limestone	PATO:0001351	area density
AGRO:00040023		CHEBI:31793	magnesium carbonate	PATO:0001351	area density
AGRO:00040024		CHEBI:64736	magnesium nitrate	PATO:0001351	area density
AGRO:00040025		CHEBI:31794	magnesium oxide	PATO:0001351	area density
AGRO:00040026		CHEBI:32599	magnesium sulfate	PATO:0001351	area density
AGRO:00040027		CHEBI:26078	phosphoric acid	PATO:0001351	area density
AGRO:00040028		CHEBI:131526	potassium carbonate	PATO:0001351	area density
AGRO:00040029		CHEBI:32588	potassium chloride	PATO:0001351	area density
AGRO:00040030		CHEBI:63036	potassium dihydrogen phosphate	PATO:0001351	area density
AGRO:00040031		CHEBI:148438	potassium metaphosphate	PATO:0001351	area density
AGRO:00040032		CHEBI:63043	potassium nitrate	PATO:0001351	area density
AGRO:00040033		CHEBI:63005	sodium nitrate	PATO:0001351	area density
AGRO:00040034		CHEBI:77775	sodium selenate	PATO:0001351	area density
AGRO:00040035		CHEBI:16199	urea	PATO:0001351	area density
AGRO:00040036		CHEBI:88276	urea ammonium nitrate	PATO:0001351	area density
AGRO:00040037		CHEBI:35176	zinc sulfate	PATO:0001351	area density
