iri	iri label	entity	entity label	attribute	attribute label	synonym	definition
AGRO_00000200	fertilizer area density 	CHEBI_33287	fertilizer	PATO_0001351	area density	Fertilizer quantity	Quantity of fertilizer applied to soils or plant tissues in one treatment. 
AGRO_00000158 	nitrogen area density 	CHEBI_17997 	nitrogen	PATO_0001351	area density	Nitrogen total amount	Total amount of nitrogen applied to the soil over the season
AGRO_00000160 	phosphorus area density 	CHEBI_28659	phosphorus	PATO_0001351	area density	Phosphorus total amount	Total amount of phosphorus applied over season.
AGRO_00000201	potassium area density 	CHEBI_29103	potassium	PATO_0001351	area density	Potassium total amount	Total amount of potassium applied over season.
AGRO_00000164 	sulfur area density 	CHEBI_15138	sulfur	PATO_0001351	area density	Sulphur total amount	Total amount of sulphur applied over season.
AGRO_00000168 	nitrate area density 	CHEBI_48107	nitrate	PATO_0001351	area density	Nitrate amount	Quantity of nitrate applied
AGRO_00000169 	ammonium area density 	CHEBI_16134	ammonium	PATO_0001351	area density	Ammonium amount	Quantity of ammonium applied
AGRO_00000170 	calcium area density 	CHEBI_22984	calcium	PATO_0001351	area density	Calcium amount	Quantity of calcium applied
AGRO_00000174 	magnesium area density 	CHEBI_25107	magnesium	PATO_0001351	area density	Magnesium amount applied	Quantity of magnesium applied 
AGRO_00000175 	iron area density 	CHEBI_18248	iron	PATO_0001351	area density	Iron amount applied	Quantity of iron applied
AGRO_00000176 	zinc area density 	CHEBI_27363	zinc	PATO_0001351	area density	Zinc amount applied	Quantity of zinc applied
AGRO_00000177 	copper area density 	CHEBI_28694	copper	PATO_0001351	area density	Copper amount applied	Quantity of copper applied
AGRO_00000178 	boron area density 	CHEBI_33609	boron	PATO_0001351	area density	Boron amount applied	Quantity of boron applied
AGRO_00000179 	molybdenum area density 	CHEBI_28685	molybdenum	PATO_0001351	area density	Molybdenum amount applied	Quantity of molybdenum applied
AGRO_00000180 	manganese area density 	CHEBI_18291	manganese	PATO_0001351	area density	Manganese amount applied	Quantity of manganese applied
AGRO_00000188 	chlorine area density 	CHEBI_29310	chlorine	PATO_0001351	area density	Chlorine amount applied	Quantity of chlorine applied
AGRO_00000443	micronutrients area density	CHEBI_27027	micronutrient	PATO_0001351	area density	Amount of micronutrient applied	Quantity of micronutrient applied. Micronutrients for plants are Boron, Chlorine, Iron, Zinc, Manganese, Molybdenum, Copper.
AGRO_00000194	mulch colour 	AGRO_00000092	mulch	PATO_0000014	color		Colour of the layer of material applied to the soil surface.
AGRO_00000444	crop residue area density	AGRO_00000154	crop residue	PATO_0001351	area density	Above ground residue weight	Weight of clean and dry above-ground residue 
AGRO_00000316	row spacing	AGRO_00000156	row	PATO_0000040	distance	Space between sown rows	Distance between 2 rows sown.
AGRO_00000441	bund height	AGRO_00000196	bund	PATO_0000119	height	Bund height	Height of the small earth embankments which contain irrigation water within basins. 
AGRO_00000442	tractor speed	AGRO_00000124	tractor	PATO_0000008	speed	Tractor field speed	Speed of the tractor in the field.
AGRO_00000445	center pivot irrigation equipement length	AGRO_00000198	center pivot irrigation machine	PATO_0000122	lenght	Pivot length	Length of the pivot used for irrigation using sprinkler systems
AGRO_00000166	pesticide area density	CHEBI_25944	pesticide	PATO_0001351	area density	Pesticide amount	Quantity of pesticide used in one application.
AGRO_00000446	well depth	ENVO_00000026	well	PATO_0001595	depth		Depth of the well where water is extracted for irrigation.
AGRO_00000447	rhizobium area density	NCBITaxon_379	rhizobium	PATO_0001351	area density	Rhizobium quantity inoculated	Quantity of rhizobium inoculated into the soil.
AGRO_00000299	farm area	ENVO_00000078	farm	PATO_0001323	area		Total area of the farm
AGRO_00000300	field area	ENVO_01000352	field	PATO_0001323	area		Area of the field where the experiment is done. The field includes all the blocks of a same experiment. 
AGRO_00000302	plot area	AGRO_00000301	plot	PATO_0001323	area		Area of the smallest unit of an experiment receiving a certain treatment.
