iri	iri label	entity1	entity1 label	entity2	entity2 label	attribute	attribute  label	synonym	definition
AGRO_2000000	soil residue depth	ENVO_00001998	soil	AGRO_00000154	crop residue	PATO_0000122	depth	Residue incorporation depth	Depth at which residue are incorporated into the soil
AGRO_2000001	soil water content	ENVO_00001998	soil	CHEBI_46629	water	PATO_0000025	content	Above ground residue moisture	Moisture concentration of the above ground residue
AGRO_2000002	crop residue lignin content	AGRO_00000154	crop residue	CHEBI_6457 	lignin	PATO_0000025	content	Above ground residue lignin concentration	Lignin concentration of the above ground residue
AGRO_2000003	crop residue nitrogen content	AGRO_00000154	crop residue	CHEBI_17997 	nitrogen	PATO_0000025	content	Above ground residue nitrogen concentration	Nitrogen concentration of the residue above-ground.
AGRO_2000004	crop residue phosphorus content	AGRO_00000154	crop residue	CHEBI_28659	phosphorus	PATO_0000025	content	Above ground residue phosphorus concentration	Phosphorus concentration of the residue above-ground.
AGRO_2000005	crop residue potassium content	AGRO_00000154	crop residue	CHEBI_29103	potassium	PATO_0000025	content	Above ground residue potassium concentration	Potassium concentration of the residue above-ground.
AGRO_2000006	soil seed depth	ENVO_00001998	soil	PO_0009010	seed	PATO_0000122	depth	Planting depth	Depth at which the seed or the planting material has been set into the ground during the planting process.
AGRO_2000007	plant count par hill	ENVO_00000083	hill	PO_0000003	plant	PATO_0000070	amount	Plants per hill	Number of plants per hill
AGRO_2000008	soil pesticide depth	ENVO_00001998	soil	CHEBI_25944	pesticide	PATO_0000122	depth	Pesticide application depth	Depth at which pesticide is applied in the ground.
AGRO_2000009	organic fertilizer water content	AGRO_00000033	organic fertilizer	CHEBI_46629	water	PATO_0000025	content	Organic fertilizer moisture concentration	Moisture concentration in the applied organic fertilizer.
AGRO_2000010	organic fertilizer lignin content	AGRO_00000033	organic fertilizer	CHEBI_6457 	lignin	PATO_0000025	content	Organic fertilizer lignin concentration	Concentration of lignin in organic fertilizer. Lignin is an amorphous polymer that provides rigidity and together with cellulose forms the woody cell walls of plants.
AGRO_2000011	nitrate content in fertilizer	CHEBI_33287	fertilizer	CHEBI_48107	nitrate	PATO_0000025	content	Nitrate concentration in applied fertilizer	Nitrate concentration in applied fertilizer..
AGRO_2000012	ammonium content in fertilizer	CHEBI_33287	fertilizer	CHEBI_16134	ammonium	PATO_0000025	content	Ammonium concentration in applied fertilizer	Ammonium concentration in applied fertilizer.
AGRO_2000013	calcium content in fertilizer	CHEBI_33287	fertilizer	CHEBI_22984	calcium	PATO_0000025	content	Calcium concentration in applied fertilizer	Concentration of calcium in applied fertilizer.
AGRO_2000014	sulphur content in fertilizer	CHEBI_33287	fertilizer	CHEBI_15138	sulphur	PATO_0000025	content	Sulphur concentration in applied fertilizer	Concentration of sulphur in applied fertilizer.
AGRO_2000015	magnesium content in fertilizer	CHEBI_33287	fertilizer	CHEBI_25107	magnesium	PATO_0000025	content	Magnesium concentration in applied fertilizer	Concentration of magnesium in applied fertilizer.
AGRO_2000016	iron content in fertilizer	CHEBI_33287	fertilizer	CHEBI_18248	iron	PATO_0000025	content	Iron concentration in applied fertilizer	Concentration of iron in applied fertilizer.
AGRO_2000017	zinc content in fertilizer	CHEBI_33287	fertilizer	CHEBI_27363	zinc	PATO_0000025	content	Zinc concentration in applied fertilizer	Concentration of zinc in applied fertilizer.
AGRO_2000018	copper content in fertilizer	CHEBI_33287	fertilizer	CHEBI_28694	copper	PATO_0000025	content	Copper concentration in applied fertilizer	Concentration of copper in applied fertilizer.
AGRO_2000019	boron content in fertilizer	CHEBI_33287	fertilizer	CHEBI_33609	boron	PATO_0000025	content	Boron concentration in applied fertilizer	Concentration of boron in applied fertilizer.
AGRO_2000020	molybdenum content in fertilizer	CHEBI_33287	fertilizer	CHEBI_28685	molybdenum	PATO_0000025	content	Molybdenum concentration in applied fertilizer	Concentration of molybdenum in applied fertilizer.
AGRO_2000021	manganese content in fertilizer	CHEBI_33287	fertilizer	CHEBI_18291	manganese	PATO_0000025	content	Manganese concentration in applied fertilizer	Concentration of manganese in applied fertilizer.
AGRO_2000022	chlorine content in fertilizer	CHEBI_33287	fertilizer	CHEBI_29310	chlorine	PATO_0000025	content	Chlorine concentration in applied fertilizer	Concentration of chlorine in applied fertilizer.
AGRO_2000023	carbon content in organic fertilizer	AGRO_00000033	organic fertilizer	CHEBI_27594 	carbon	PATO_0000025	content	Organic fertilizer carbon concentration	Carbon concentration in organic fertilizer.
AGRO_2000024	nitrogen content in fertilizer	CHEBI_33287	fertilizer	CHEBI_17997 	nitrogen	PATO_0000025	content	Nitrogen concentration in applied fertilizer	Nitrogen concentration in applied fertilizer.
AGRO_2000025	phosphorus content in fertilizer	CHEBI_33287	fertilizer	CHEBI_28659	phosphorus	PATO_0000025	content	Phosphorus concentration in applied fertilizer	Phosphorus concentration in applied fertilizer.
AGRO_2000026	potassium content in fertilizer	CHEBI_33287	fertilizer	CHEBI_29103	potassium	PATO_0000025	content	Potassium concentration in applied fertilizer	Potassium concentration in applied fertilizer.
AGRO_2000027	fertilizer depth in soil	ENVO_00001998	soil	CHEBI_33287	fertilizer	PATO_0000122	depth	Fertilizer application  depth	Distance between the surface of the soil and the point where the fertilizer is applied in the soil.
AGRO_2000028	soil irrigation equipment depth	ENVO_00001998	soil	AGRO_00000162	irrigation tube	PATO_0000122	depth	Irrigation equipment depth	Depth of the irrigation equipment buried in the soil. 
AGRO_2000030	crop residue incorporation percentage	ENVO_00001998	soil	AGRO_00000154	crop residue	PATO_0000025	content	Crop residue incorporation percentage	Percentage of crop residue buried into the soil during an incorporation process
AGRO_2000031	organic fertilizer incorporation percentage	ENVO_00001998	soil	AGRO_00000033	organic fertilizer	PATO_0000025	content	Organic fertilizer incorporation percentage	Percentage of organic fertilizer buried into the soil during an incorporation process
AGRO_00000440	soil organic fertilizer coverage	ENVO_00001998	soil	AGRO_00000033	organic fertilizer	PATO_0001323	area	Organic fertilizer percentage of  coverage	Percentage of soil covered by organic fertilizer after an organic fertilization event. 
AGRO_00000439	soil mulch coverage	ENVO_00001998	soil	AGRO_00000092	mulch	PATO_0001323	area	Mulch percentage of  coverage	Percentage of soil covered by mulch.
