defined_class	defined_class_label	chemical	chemical_label
AGRO:00000178	'boron area density'	CHEBI:27560	'boron atom'
AGRO:00000170	'calcium area density'	CHEBI:22984	'calcium atom'
AGRO:00000188	'chlorine area density'	CHEBI:23116	'chlorine atom'
AGRO:00000177	'copper area density'	CHEBI:28694	'copper atom'
AGRO:00000175	'iron area density'	CHEBI:18248	'iron atom'
AGRO:00000174	'magnesium area density'	CHEBI:25107	'magnesium atom'
AGRO:00000180	'manganese area density'	CHEBI:18291	'manganese atom'
AGRO:00000179	'molybdenum area density'	CHEBI:28685	'molybdenum atom'
AGRO:00000158	'nitrogen area density'	CHEBI:25555	'nitrogen atom'
AGRO:00000160	'phosphorus area density'	CHEBI:28659	'phosphorus atom'
AGRO:00000201	'potassium area density'	CHEBI:26216	'potassium atom'
AGRO:00000164	'sulfur area density'	CHEBI:26833	'sulfur atom'
AGRO:00000176	'zinc area density'	CHEBI:27363	'zinc atom'
AGRO:00000169	'ammonium area density'	CHEBI:28938	'ammonium'
AGRO:00000168	'nitrate area density'	CHEBI:17632	'nitrate'
