defined_class	defined_class_label	attribute	attribute_label	entity	entity_label
AGRO:00010000	total number of land levelling passes	PATO:0000057	occurrence	AGRO:00000004	land levelling process
AGRO:00010001	puddling depth 	PATO:0001595	depth	AGRO:00000028	puddling process
AGRO:00010002	tillage depth	PATO:0001595	depth	AGRO:00000002	tillage process
AGRO:00010003	total number of tillage passes	PATO:0000057	occurrence	AGRO:00000002	tillage process
AGRO:00010004	crop residue thickness	PATO:0000915	thickness	AGRO:00000154	crop residue
AGRO:00010006	crop residue percent coverage	PATO:0001323	area	AGRO:00000154	crop residue
AGRO:00010007	residue incorporation depth	PATO:0001595	depth	AGRO:00000154	crop residue
AGRO:00010008	organic fertilizer amount	PATO:0001351	area density	AGRO:00002039	organic fertilizer
AGRO:00010009	inorganic fertilizer amount	PATO:0001351	area density	AGRO:00002040	inorganic fertilizer
AGRO:00010010	nutrient amount	PATO:0001351	area density	CHEBI:33284	nutrient
AGRO:00010011	number of fertilizer applications	PATO:0000057	occurrence	AGRO:01000000	fertilization process
AGRO:00010013	mulch amount	PATO:0001351	area density	AGRO:00000092	mulch
AGRO:00000194	mulch color	PATO:0000014	color	AGRO:00000092	mulch
AGRO:00000439	mulch percent coverage	PATO:0001323	area	AGRO:00000092	mulch
AGRO:00010015	number of irrigations	PATO:0000057	occurrence	AGRO:00000006	irrigation process
AGRO:00000318	distance between rows	PATO:0000040	distance	AGRO:00000155	row
AGRO:00000316	distance between plants	PATO:0000040	distance	PO:0000003	whole plant
AGRO:00000312	number of rows	PATO:0000070	amount	AGRO:00000155	row
AGRO:00010016	distance between bunds	PATO:0000040	distance	AGRO:00000196	bund
AGRO:00010017	fertilizer amount	PATO:0000070	amount	AGRO:00002062	agronomic fertilizer
AGRO:00000202	seeding rate	PATO:0001351	area density	PO:0009010	seed
AGRO:00010018	number of weedings	PATO:0000057	occurrence	AGRO:00020006	weeding process
AGRO:00010019	number of plants harvested	PATO:0000070	amount	AGRO:00002049	harvested crop
AGRO:00010020	number of rows harvested	PATO:0000070	amount	AGRO:00002050	harvested row
AGRO:00010021	length of rows harvested	PATO:0000122	length	AGRO:00002050	harvested row
AGRO:00010022	space between rows harvested	PATO:0000040	distance	AGRO:00002050	harvested row
AGRO:00010023	amount harvested	PATO:0000125	mass	AGRO:00002049	harvested crop
AGRO:00010024	total number of puddling passes	PATO:0000057	occurrence	AGRO:00000028	puddling process
AGRO:00010025	conventional tillage date	PATO:0000165	time	AGRO:00000015	conventional tillage process
AGRO:00010026	reduced tillage date	PATO:0000165	time	AGRO:00000016	reduced tillage process
AGRO:00010027	conservation tillage date	PATO:0000165	time	AGRO:00000017	conservation tillage process
AGRO:00010028	puddling date	PATO:0000165	time	AGRO:00000028	puddling process
AGRO:00010029	laser land levelling date	PATO:0000165	time	AGRO:00000020	laser land levelling process
AGRO:00010030	traditional land levelling date	PATO:0000165	time	AGRO:00000214	traditional land levelling process
AGRO:00010031	crop residue burning date	PATO:0000165	time	AGRO:00000212	crop residue burning process
AGRO:00010032	crop residue spreading date	PATO:0000165	time	AGRO:00000213	crop residue spreading process
AGRO:00010034	localized irrigation date	PATO:0000165	time	AGRO:00000055	localized irrigation process
AGRO:00010035	sprinkler irrigation date	PATO:0000165	time	AGRO:00000060	sprinkler irrigation process
AGRO:00010036	sub-irrigation date	PATO:0000165	time	AGRO:00000062	sub-irrigation process
AGRO:00010037	surface irrigation date	PATO:0000165	time	AGRO:00000063	surface irrigation process
AGRO:00010038	deep tillage date	PATO:0000165	time	AGRO:00020004	deep tillage
AGRO:00010039	mulch-till process date	PATO:0000165	time	AGRO:00000029	mulch-till
AGRO:00010040	ridge-till process date	PATO:0000165	time	AGRO:00000030	ridge-till
AGRO:00010041	strip-till process date	PATO:0000165	time	AGRO:00000031	strip-till
AGRO:00010042	mechanical pest destruction date	PATO:0000165	time	AGRO:00000108	mechanical pest destruction process
AGRO:00010043	mechanical pest exclusion date	PATO:0000165	time	AGRO:00000109	mechanical pest exclusion process
AGRO:00010044	mechanical pest removal date	PATO:0000165	time	AGRO:00000110	mechanical pest removal process
AGRO:00010048	mechanical pest control date	PATO:0000165	time	AGRO:00000021	mechanical pest control process
AGRO:00010049	biological pest control date	PATO:0000165	time	AGRO:00000022	biological pest control process
AGRO:00010050	chemical pest control date	PATO:0000165	time	AGRO:00000024	chemical pest control process
AGRO:00010051	weeding date	PATO:0000165	time	AGRO:00020006	weeding process
AGRO:00010052	threshing date	PATO:0000165	time	AGRO:00000454	threshing process
AGRO:00010053	winnowing date	PATO:0000165	time	AGRO:00000457	winnowing process
AGRO:00010054	haymaking date	PATO:0000165	time	AGRO:00000462	haymaking process
AGRO:00010055	windrowing date	PATO:0000165	time	AGRO:00000463	windrowing
AGRO:00010056	baling date	PATO:0000165	time	AGRO:00000464	baling process
AGRO:00010057	trussing date	PATO:0000165	time	AGRO:00000465	trussing process
AGRO:00010058	cutting date	PATO:0000165	time	AGRO:00000467	cutting process
AGRO:00010059	lifting date	PATO:0000165	time	AGRO:00000474	lifting process
AGRO:00010060	desuckering date	PATO:0000165	time	AGRO:00000007	desuckering process
AGRO:00010061	tree topping date	PATO:0000165	time	AGRO:00000458	tree topping process
AGRO:00010062	detrashing date	PATO:0000165	time	AGRO:00000459	detrashing process
AGRO:00010063	limbing date	PATO:0000165	time	AGRO:00000460	limbing process
AGRO:00010064	drip irrigation date	PATO:0000165	time	AGRO:00000056	drip irrigation process
AGRO:00010065	pitcher irrigation date	PATO:0000165	time	AGRO:00000057	pitcher irrigation process
AGRO:00010066	subsurface drip irrigation date	PATO:0000165	time	AGRO:00000058	subsurface drip irrigation process
AGRO:00010067	subsurface textile irrigation date	PATO:0000165	time	AGRO:00000059	subsurface textile irrigation process
AGRO:00010068	bubbler irrigation date	PATO:0000165	time	AGRO:00002011	bubbler irrigation process
AGRO:00010069	mist irrigation date	PATO:0000165	time	AGRO:00002012	mist irrigation process
AGRO:00010070	center-pivot irrigation date	PATO:0000165	time	AGRO:00000061	center-pivot irrigation process
AGRO:00010071	sprinker by lateral move irrigation date	PATO:0000165	time	AGRO:00002013	sprinker by lateral move irrigation process
AGRO:00010072	side roll sprinkler irrigation date	PATO:0000165	time	AGRO:00002014	side roll sprinkler irrigation process
AGRO:00010073	bassin irrigation date	PATO:0000165	time	AGRO:00000064	bassin irrigation process
AGRO:00010074	border irrigation date	PATO:0000165	time	AGRO:00000066	border irrigation process
AGRO:00010075	furrow irrigation date	PATO:0000165	time	AGRO:00000067	furrow irrigation process
AGRO:00010076	uncontrolled flooding date	PATO:0000165	time	AGRO:00000068	uncontrolled flooding process
AGRO:00010077	continuous flood date	PATO:0000165	time	AGRO:00000065	continuous flood process
AGRO:00010078	tillage date	PATO:0000165	time	AGRO:00000002	tillage process
AGRO:00010079	heat treatment date	PATO:0000165	time	AGRO:00000204	heat treatment
AGRO:00010080	cold treatment date	PATO:0000165	time	AGRO:00000206	cold treatment
AGRO:00010081	flood treatment date	PATO:0000165	time	AGRO:00000207	flood treatment
AGRO:00010082	fire treatment date	PATO:0000165	time	AGRO:00000209	fire treatment
AGRO:00010083	steam treatment date	PATO:0000165	time	AGRO:00000210	steam treatment
AGRO:00010084	diatomaceous earth spreading date	PATO:0000165	time	AGRO:00000211	diatomaceous earth spreading
AGRO:00010085	mulching date	PATO:0000165	time	AGRO:00000111	mulching process
AGRO:00010086	using barrier date	PATO:0000165	time	AGRO:00000216	using barrier process
AGRO:00010087	trapping date	PATO:0000165	time	AGRO:00000215	trapping process
AGRO:00010088	hand picking date	PATO:0000165	time	AGRO:00000217	hand picking process
