AGRO ID	AGRO label	AGRO definition	Agrovoc URI	Agrovoc label	
http://purl.obolibrary.org/obo/AGRO_01000015	tillage	group together tillage and no-till processes	http://aims.fao.org/aos/agrovoc/c_7771	tillage	
http://purl.obolibrary.org/obo/AGRO_00020004	deep tillage	A tillage process during which the tillage occurs at 25-30 cm depth. It can be used for deep rooted crop like pigeonpea.	http://aims.fao.org/aos/agrovoc/c_36704	deep tillage	
http://purl.obolibrary.org/obo/AGRO_00000031	strip-till	A conservation tillage process in which narrow strips are tilled where seeds will be planted, leaving the soil in between the rows untilled.	http://aims.fao.org/aos/agrovoc/c_1516cbf3	strip tillage	
http://purl.obolibrary.org/obo/AGRO_00000463	windrowing	An harvest process in which the cut herbage is putting into rows for further handling and collection, and sometimes also for protection at night.	http://aims.fao.org/aos/agrovoc/c_25674	windrowing	
http://purl.obolibrary.org/obo/AGRO_00000430	rotational grazing	A grazing management system in which the land is subdivided or sectioned off into smaller areas, sometimes called paddocks. The livestock are moved from one paddock to another in order to best promote plant health and growth.	http://aims.fao.org/aos/agrovoc/c_6663	rotational grazing	
http://purl.obolibrary.org/obo/AGRO_00000431	continuous grazing	A grazing management system in which livestock have unrestricted access to the pasture area throughout the grazing season.	http://aims.fao.org/aos/agrovoc/c_36542	continuous grazing	
http://purl.obolibrary.org/obo/AGRO_00000432	strip grazing	A system of grazing which confined animals to a strip or small part of the field for rapid grazing in a short time period.. The rest of the field is protected by a temporary fence, usually electric.	http://aims.fao.org/aos/agrovoc/c_7456	strip grazing	
http://purl.obolibrary.org/obo/AGRO_00000434	controlled grazing	An intensive rotational grazing system in which livestock is allowed to graze for a limited time, leaving a leafy stubble, and then is moved to another area.	http://aims.fao.org/aos/agrovoc/c_5497	controlled grazing	
http://purl.obolibrary.org/obo/AGRO_00000481	monoculture	A planned process in which a single crop is cultivated in an area at a time.	http://aims.fao.org/aos/agrovoc/c_4915	monoculture	
http://purl.obolibrary.org/obo/AGRO_00000076	farmyard manure	Animal manure that contains plant material, which has been used as bedding for animals and has absorbed the feces and urine.	http://aims.fao.org/aos/agrovoc/c_2810	farmyard manure	
http://purl.obolibrary.org/obo/AGRO_00000078	liquid manure	An animal manure made of animal urine and sometimes waste water.	http://aims.fao.org/aos/agrovoc/c_4373	liquid manures	
http://purl.obolibrary.org/obo/AGRO_00000081	fish manure	An animal manure that contains solid waste from fishes often originateing from aquaculture operations.	http://aims.fao.org/aos/agrovoc/c_27896	fish manure	
http://purl.obolibrary.org/obo/AGRO_00000089	cottonseed meal	An oil meal that contains crushed cotton seeds from which oil has been removed.	http://aims.fao.org/aos/agrovoc/c_35678	cottonseed meal	
http://purl.obolibrary.org/obo/AGRO_00000093	plastic mulch	A mulch where plastic sheet is used to cover soil surface. Plants grow through slits or holes in thin plastic sheeting.	http://aims.fao.org/aos/agrovoc/c_13452	plastic mulches	
http://purl.obolibrary.org/obo/AGRO_00000094	landscape fabric	A mulch where textile material is used to covert the soil surface. The fabric itself can be made from synthetic or organic materials, sometimes from recycled sources.	http://aims.fao.org/aos/agrovoc/c_33499	geotextiles	
http://purl.obolibrary.org/obo/AGRO_00000098	straw mulch	A mulch where straw is used to cover soil surface.	http://aims.fao.org/aos/agrovoc/c_7442	straw mulches	
http://purl.obolibrary.org/obo/AGRO_00002009	stubble	A crop residue which is the cut stalks of cereal plants left sticking out of the ground after the grain is harvested.	http://aims.fao.org/aos/agrovoc/c_16650	stubble	
http://purl.obolibrary.org/obo/AGRO_00000139	manure spreader	An implement used to distribute manure over a field. It usually consists of a trailer towed behind a tractor with a rotating mechanism driven by the tractor's power take off.	http://aims.fao.org/aos/agrovoc/c_25990	manure spreaders	
http://purl.obolibrary.org/obo/AGRO_00000456	scythe	Agricultural tool that consists of a shaft about 170 centimetres (67 in) long made of wood or metal. The shaft has either one or two short handles at right angles to it, usually one near the upper end and always another roughly in the middle. A curved, steel blade between 60 to 90 centimetres (24 to 35 in) long is mounted at the lower end at 90°, or less, to the shaft. It is hand powered.	http://aims.fao.org/aos/agrovoc/c_0a9fbc47	scythes	
http://purl.obolibrary.org/obo/AGRO_00000472	tedder	An agricultural implement that uses moving forks to aerate or "wuffle" the hay and thus speed up the process of hay-making. It is used after cutting and before windrowing.	http://aims.fao.org/aos/agrovoc/c_7649	tedders	
